№;Элементы интерфейса;Роль;навзвание действия;Вводные данные;Ожидание результатов;Результат;Коментарии
4.3.0.2.1;;Пользователь;"выбор фильтра в ""Filtering""";"в окне ""Filtering""";проверяем 2 обьекта с разными пораметрами(open, Executed );прошел;
4.3.0.2.1;;Пользователь;"выбор фильтра в ""Filtering""";"в окне ""Filtering""";проверяем 2 обьекта с разными пораметрами(open, cancelled);прошел;
4.3.0.2.1;;Пользователь;"выбор фильтра в ""Filtering""";"в окне ""Filtering""";проверяем 2 обьекта с разными пораметрами(in progress, Executed);прошел;
4.3.0.2.1;;Пользователь;"выбор фильтра в ""Filtering""";"в окне ""Filtering""";проверяем 2 обьекта с разными пораметрами(in progress, cancelled);прошел;
4.3.0.2.1;;Пользователь;"выбор фильтра в ""Filtering""";"в окне ""Filtering""";проверяем 2 обьекта с разными пораметрами(Executed, cancelled);прошел;
4.3.0.2.1;;Пользователь;"выбор фильтра в ""Filtering""";"в окне ""Filtering""";проверяем 1 обьекта с разными пораметрами(open);прошел;
4.3.0.2.1;;Пользователь;"выбор фильтра в ""Filtering""";"в окне ""Filtering""";проверяем 1 обьекта с разными пораметрами( in progress);прошел;
4.3.0.2.1;;Пользователь;"выбор фильтра в ""Filtering""";"в окне ""Filtering""";проверяем 1 обьекта с разными пораметрами(Executed);прошел;
4.3.0.2.1;;Пользователь;"выбор фильтра в ""Filtering""";"в окне ""Filtering""";проверяем 1 обьекта с разными пораметрами(cancelled);прошел;
4.3.0.2.1;;Пользователь;"выбор фильтра в ""Filtering""";"в окне ""Filtering""";проверяем 0 обьекта с разными пораметрами;прошел;
4.3.1.0.;"окно  ""Creating Claims""";;;;;;
4.3.1.0.1;;Пользователь;ввод текста в  элемент Title;до 50 символов (eng);создаст Claims;прошел;
4.3.1.0.2;;Пользователь;ввод текста в  элемент Title;нет элементов;ошибка;прошел;
4.3.1.0.3;;Пользователь;ввод текста в  элемент Title;до 50 символов (rus);создаст Claims;прошел;
4.3.1.0.4;;Пользователь;ввод текста в  элемент Title;свыше 50 символов (eng);не дает ввести;прошел;
4.3.1.0.5;;Пользователь;ввод текста в  элемент Title;свыше 50 символов (rus);не дает ввести;прошел;
4.3.1.0.6;;Пользователь;ввод текста в элемент Executor;Ivan ivano….;получем ivan …;прошел;
4.3.1.0.7;;Пользователь;ввод текста в элемент Executor;Ivan1;не получем ivan1;прошел;
4.3.1.0.8;;Пользователь;ввод  элемент Date;прошлого времини;ошибка;не прошел;
4.3.1.0.9;;Пользователь;ввод  элемент Date;текщей даты;создаст Claims;прошел;
4.3.1.0.10;;Пользователь;ввод  элемент Date;будущей  даты;создаст Claims;прошел;
4.3.1.0.11;;Пользователь;выбор даты ;текщей даты;создаст Claims;прошел;
4.3.1.0.12;;Пользователь;выбор даты ;будущей  даты;создаст Claims;прошел;
4.3.1.0.13;;Пользователь;ввод времени;ввод 20:00;создаст Claims;прошел;
4.3.1.0.14;;Пользователь;ввод времени;ввод  20:80;ошибка;не прошел;
4.3.1.0.15;;Пользователь;ввод времени;ввод  время от действущего отличется на -1ч (из прошлого);создаст Claims;прошел;
4.3.1.0.16;;Пользователь;ввод текста в элемент Description;до 50 символов (eng);создаст Claims;прошел;
4.3.1.0.17;;Пользователь;ввод текста в элемент Description;до 50 символов (rus);создаст Claims;прошел;
4.3.1.0.18;;Пользователь;ввод текста в элемент Description;свыше 255 символов (eng);создаст Claims;прошел;
4.3.1.0.19;;Пользователь;ввод текста в элемент Description;свыше 255  символов (rus);создаст Claims;прошел;
4.3.1.0.20;;Пользователь;тест функции SAVE;Проверка текстовых полей на пустоту (title, executor, date,time, descripton);появляется надпись Fill emply Fields и кнопка OK;прошел;
4.3.1.0.21;;Пользователь;тест функции SAVE;Проверка текстовых полей на пустоту (пустой title);появляется надпись Fill emply Fields и кнопка OK;прошел;
4.3.1.0.22;;Пользователь;тест функции SAVE;Проверка текстовых полей на пустоту (пустой executor);создаст Claims;прошел;
4.3.1.0.23;;Пользователь;тест функции SAVE;Проверка текстовых полей на пустоту (пустой data);появляется надпись Fill emply Fields и кнопка OK;прошел;
4.3.1.0.24;;Пользователь;тест функции SAVE;Проверка текстовых полей на пустоту (пустой time);появляется надпись Fill emply Fields и кнопка OK;прошел;
4.3.1.0.25;;Пользователь;тест функции SAVE;Проверка текстовых полей на пустоту (пустой descripton);появляется надпись Fill emply Fields и кнопка OK;прошел;
4.3.1.0.26;;Пользователь;тест функции SAVE;Проверка текстовых полей на пустоту (пустой title, executor);появляется надпись Fill emply Fields и кнопка OK;прошел;
4.3.1.0.27;;Пользователь;тест функции SAVE;Проверка текстовых полей на пустоту (пустой  date,time);появляется надпись Fill emply Fields и кнопка OK;прошел;
4.3.1.0.28;;Пользователь;тест функции SAVE;Проверка текстовых полей на пустоту (пустой  titie,date,time);появляется надпись Fill emply Fields и кнопка OK;прошел;
4.3.1.0.29;;Пользователь;тест функции SAVE;Проверка текстовых полей на пустоту (пустой  titie,date,descripton);появляется надпись Fill emply Fields и кнопка OK;прошел;
4.3.1.0.30;;Пользователь;тест функции SAVE;проверка текста на заполнение полей (title, executor, date,time, descripton);создаст Claims;прошел;
4.3.1.0.31;;Пользователь;нажатие на кнопку CANCEL;с пустыми полями;не создаст claims;прошел;
4.3.1.0.32;;Пользователь;нажатие на кнопку CANCEL;с заполнинами  полями;не создаст claims;прошел;
4.4.0.;Окно news;;;;;;
4.4.0.1; элемент меню;;;;;прошел;
4.4.0.1.1;;Пользователь;нажатие на кнопки меню;нажать на меню;выдача окна дополнительного;прошел;
4.4.0.1.2;;Пользователь;нажатие на Main;при  показе окна меню;переход в Main;прошел;
4.4.0.1.3;;Пользователь;нажатие на Claims;при  показе окна меню;переход в claims;прошел;
4.4.0.1.4;;Пользователь;нажатие на News;при  показе окна меню;не успешная ;прошел;
4.4.0.1.5;;Пользователь;нажатие на About;при  показе окна меню;переход на About;прошел;
4.4.0.1.6;;Пользователь;нажатие на логотип;при  показе окна меню;не чего не происходит;прошел;
4.4.0.1.7;;Пользователь;нажатие на бабучку;;"переходит на ""love is all""";прошел;
4.4.0.1.8;;Пользователь;нажатие на профель;нажатие на профиль;появление дополнительного окна;прошел;
4.4.0.1.9;;Пользователь;пункт log out;при показе окна профеля;переход на окно Authorization;прошел;
4.4.0.2;блок NEWS;;;;;прошел;
4.4.0.2.1;;Пользователь;нажатие фильтрации по ABC;при условии ZYX;построит по алфавиту (по типу ABC);прошел;
